number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	0
18	75	1	0
15	75	1	0
15	80	1	0
18	80	1	39
20	80	1	39
58	75	1	352
60	80	1	214
62	80	1	214
65	82	1	214
65	85	1	214
67	85	1	352
10	40	1	0
8	40	1	0
10	35	1	352
8	45	1	0
5	45	1	0
2	45	1	352
55	80	1	214
55	82	1	214
55	85	1	39
60	85	1	352
25	85	1	39
22	85	1	39
20	85	1	39
40	15	1	0
42	15	1	0
38	15	1	39
42	12	1	0
72	35	1	0
85	35	1	0
88	35	1	0
90	35	1	0
95	35	1	0
95	30	1	0
92	30	1	0
20	82	1	39
0	45	1	0
0	40	1	352
2	40	1	352
5	35	1	352
35	5	1	39
38	5	1	39
40	5	1	0
42	10	1	0
42	5	1	0
44	5	1	39
85	25	1	0
87	30	1	0
88	30	1	0
