number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	0
30	52	1	0
28	52	1	576
28	55	1	0
25	50	1	82
25	52	1	576
23	52	1	0
25	55	1	0
23	55	1	0
42	65	1	0
42	66	1	0
42	68	1	0
40	66	1	0
40	69	1	0
33	35	1	82
33	32	1	82
35	32	1	575
35	30	1	575
32	30	1	575
30	30	1	576
30	32	1	576
35	66	1	0
35	69	1	0
38	68	1	0
38	70	1	0
45	68	1	0
30	35	1	576
28	35	1	576
26	32	1	0
28	30	1	0
10	35	1	0
20	50	1	82
20	55	1	576
8	45	1	576
5	45	1	0
8	40	1	0
10	40	1	72
0	45	1	72
45	70	1	0
22	75	1	0
18	75	1	0
15	75	1	0
15	80	1	0
20	80	1	0
20	85	1	0
22	85	1	0
25	85	1	0
2	40	1	72
0	40	1	72
5	35	1	0
