number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	603
18	75	1	150
15	75	1	150
15	80	1	603
18	80	1	603
58	75	1	1057
60	80	1	756
62	80	1	1056
65	82	1	1056
65	85	1	1056
10	40	1	150
8	40	1	150
10	35	1	150
8	45	1	13
55	80	1	756
55	82	1	756
55	85	1	756
60	85	1	1057
40	15	1	0
42	15	1	0
38	15	1	603
42	12	1	0
72	35	1	756
85	35	1	756
88	35	1	1057
90	35	1	1057
5	45	1	13
2	45	1	13
0	45	1	13
2	40	1	150
20	80	1	603
20	82	1	603
20	85	1	603
22	85	1	756
25	85	1	756
67	85	1	1056
0	40	1	150
5	35	1	150
42	10	1	0
42	5	1	150
44	5	1	150
40	5	1	603
38	5	1	150
35	5	1	150
85	25	1	0
87	30	1	0
88	30	1	0
92	30	1	0
95	30	1	0
95	35	1	1057
