number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	0
41	37	1	10
45	30	1	10
50	35	1	532
40	25	1	10
25	30	1	532
30	25	1	0
35	17	1	532
15	30	1	532
5	30	1	650
6	38	1	0
10	43	1	0
2	48	1	0
41	49	1	0
47	47	1	0
53	52	1	0
55	45	1	0
55	60	1	0
20	40	1	0
20	50	1	522
13	52	1	522
8	56	1	522
2	60	1	0
15	60	1	650
31	52	1	0
30	60	1	0
40	60	1	0
45	65	1	0
35	69	1	0
45	20	1	10
55	20	1	532
60	12	1	532
55	5	1	532
65	20	1	532
20	20	1	0
24	12	1	0
23	3	1	0
30	5	1	532
15	10	1	650
45	10	1	532
42	7	1	532
11	14	1	650
10	20	1	650
5	5	1	0
64	42	1	532
65	35	1	532
65	55	1	650
63	65	1	650
20	65	1	650
6	68	1	0
