number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	0
41	37	1	0
45	30	1	0
50	35	1	857
25	30	1	0
30	25	1	0
35	17	1	122
40	25	1	0
45	20	1	866
41	49	1	0
47	47	1	0
53	52	1	0
55	45	1	0
20	40	1	0
20	50	1	112
13	52	1	0
8	56	1	112
31	52	1	866
30	60	1	866
40	60	1	866
45	65	1	867
15	30	1	0
5	30	1	866
6	38	1	866
10	43	1	866
20	20	1	867
24	12	1	122
23	3	1	866
30	5	1	866
55	20	1	0
60	12	1	0
55	5	1	0
65	20	1	0
45	10	1	866
42	7	1	866
15	10	1	866
11	14	1	867
10	20	1	867
64	42	1	866
65	35	1	857
65	55	1	122
63	65	1	122
55	60	1	122
35	69	1	867
20	65	1	867
15	60	1	112
2	48	1	866
2	60	1	866
6	68	1	0
5	5	1	866
