number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	0
28	52	1	0
25	50	1	0
23	52	1	121
20	50	1	121
20	55	1	121
30	56	1	121
34	60	1	121
36	40	1	121
33	35	1	121
33	32	1	121
35	32	1	121
30	35	1	371
30	30	1	121
26	32	1	371
34	25	1	371
42	65	1	371
45	70	1	371
35	66	1	466
35	69	1	371
28	70	1	0
22	66	1	371
22	75	1	371
18	75	1	466
16	42	1	0
10	40	1	0
8	40	1	0
10	35	1	121
8	45	1	0
5	45	1	0
5	35	1	121
60	66	1	466
62	69	1	466
58	70	1	466
52	75	1	0
25	85	1	0
14	66	1	371
8	62	1	371
4	55	1	121
15	75	1	466
15	80	1	466
20	80	1	466
32	20	1	371
36	18	1	371
48	20	1	371
2	40	1	121
0	40	1	0
0	45	1	0
20	85	1	0
22	85	1	0
