number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	0
30	52	1	0
28	52	1	0
28	55	1	691
25	52	1	0
25	50	1	79
23	52	1	691
23	55	1	89
25	55	1	89
20	55	1	209
42	65	1	156
42	66	1	156
42	68	1	156
40	66	1	54
40	69	1	54
33	35	1	603
33	32	1	603
35	32	1	603
35	30	1	607
32	30	1	607
30	30	1	690
35	66	1	156
35	69	1	89
38	68	1	54
38	70	1	89
30	35	1	690
28	35	1	690
30	32	1	690
28	30	1	691
45	68	1	209
45	70	1	209
22	75	1	199
18	75	1	199
20	50	1	209
8	45	1	0
5	45	1	79
8	40	1	0
10	40	1	79
26	32	1	691
10	35	1	607
5	35	1	607
2	40	1	79
15	75	1	199
15	80	1	0
20	80	1	0
20	85	1	199
25	85	1	597
22	85	1	597
0	45	1	0
0	40	1	0
