number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	0
41	37	1	0
45	30	1	0
50	35	1	115
40	25	1	115
45	20	1	115
35	17	1	0
30	25	1	105
25	30	1	36
15	30	1	36
5	30	1	36
6	38	1	26
10	43	1	26
2	48	1	26
13	52	1	1084
41	49	1	1084
47	47	1	1083
53	52	1	983
55	45	1	859
55	60	1	983
63	65	1	1083
64	42	1	859
65	35	1	859
20	40	1	859
20	50	1	859
15	60	1	1083
20	65	1	1083
8	56	1	26
2	60	1	0
6	68	1	0
30	60	1	983
31	52	1	1084
40	60	1	105
45	65	1	105
35	69	1	0
65	55	1	1083
20	20	1	179
24	12	1	179
55	20	1	859
60	12	1	1084
55	5	1	1084
65	20	1	859
45	10	1	115
42	7	1	0
10	20	1	179
11	14	1	179
15	10	1	179
23	3	1	179
30	5	1	179
5	5	1	859
