number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	821
18	75	1	821
15	75	1	821
15	80	1	769
18	80	1	769
58	75	1	0
60	80	1	1057
62	80	1	1057
65	82	1	0
65	85	1	0
10	40	1	145
8	40	1	145
10	35	1	145
8	45	1	0
55	80	1	1057
55	82	1	1057
55	85	1	821
60	85	1	0
40	15	1	0
42	15	1	0
38	15	1	145
42	12	1	0
72	35	1	821
85	35	1	821
88	35	1	769
90	35	1	1057
5	45	1	0
2	45	1	0
0	45	1	0
2	40	1	0
20	80	1	821
20	82	1	769
20	85	1	769
22	85	1	821
25	85	1	821
67	85	1	0
0	40	1	0
5	35	1	145
42	10	1	0
42	5	1	0
44	5	1	0
40	5	1	0
38	5	1	145
35	5	1	145
85	25	1	821
87	30	1	769
88	30	1	769
92	30	1	821
95	30	1	821
95	35	1	1057
