number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	123
18	75	1	123
15	75	1	123
15	80	1	528
18	80	1	528
20	80	1	528
20	82	1	528
58	75	1	0
60	80	1	113
62	80	1	0
65	82	1	113
65	85	1	113
67	85	1	113
60	85	1	113
10	40	1	123
8	40	1	7
10	35	1	123
8	45	1	7
5	45	1	7
2	45	1	7
0	45	1	7
5	35	1	123
55	80	1	113
55	82	1	113
55	85	1	113
25	85	1	0
22	85	1	0
20	85	1	7
72	35	1	528
85	35	1	528
40	15	1	0
42	15	1	0
38	15	1	123
42	12	1	0
42	10	1	0
42	5	1	123
44	5	1	123
40	5	1	123
2	40	1	7
0	40	1	7
35	5	1	123
38	5	1	123
85	25	1	113
87	30	1	113
88	35	1	528
90	35	1	528
95	35	1	0
95	30	1	0
92	30	1	113
88	30	1	113
