number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	0
41	37	1	0
45	30	1	289
50	35	1	289
40	25	1	289
45	20	1	0
35	17	1	289
30	25	1	0
25	30	1	0
15	30	1	299
5	30	1	299
6	38	1	945
10	43	1	945
2	48	1	111
13	52	1	945
41	49	1	1074
47	47	1	935
53	52	1	0
55	45	1	935
55	60	1	0
63	65	1	0
64	42	1	0
65	35	1	935
20	40	1	0
20	50	1	945
15	60	1	945
20	65	1	945
8	56	1	111
2	60	1	1084
6	68	1	1084
30	60	1	1074
31	52	1	1074
40	60	1	0
45	65	1	1074
35	69	1	0
65	55	1	0
20	20	1	121
24	12	1	299
55	20	1	0
60	12	1	945
55	5	1	1084
65	20	1	945
45	10	1	1084
42	7	1	935
10	20	1	121
11	14	1	121
15	10	1	299
23	3	1	359
30	5	1	359
5	5	1	359
