number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	472
18	75	1	0
15	75	1	493
15	80	1	493
18	80	1	0
20	80	1	472
20	82	1	493
58	75	1	36
60	80	1	36
62	80	1	36
65	82	1	36
65	85	1	36
67	85	1	36
60	85	1	36
10	40	1	0
8	40	1	528
10	35	1	0
8	45	1	528
5	45	1	528
2	45	1	503
0	45	1	503
5	35	1	528
55	80	1	0
55	82	1	0
55	85	1	36
25	85	1	472
22	85	1	493
20	85	1	493
72	35	1	482
85	35	1	482
40	15	1	0
42	15	1	0
38	15	1	0
42	12	1	0
42	10	1	0
42	5	1	0
44	5	1	0
40	5	1	0
2	40	1	482
0	40	1	482
35	5	1	0
38	5	1	0
85	25	1	0
87	30	1	472
88	35	1	528
90	35	1	503
95	35	1	528
95	30	1	528
92	30	1	528
88	30	1	0
