number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	1
30	52	1	1
28	52	1	1
28	55	1	1
25	52	1	63
25	50	1	63
23	52	1	63
23	55	1	52
25	55	1	52
42	65	1	52
42	66	1	1
42	68	1	52
40	66	1	1
33	35	1	1
33	32	1	1
35	32	1	345
35	30	1	345
32	30	1	1
30	30	1	1
35	66	1	98
35	69	1	98
38	68	1	63
38	70	1	63
40	69	1	63
45	68	1	98
45	70	1	1
22	75	1	1
30	35	1	98
28	35	1	98
30	32	1	1
28	30	1	1
26	32	1	1
10	35	1	0
20	50	1	98
20	55	1	98
8	45	1	1
5	45	1	0
8	40	1	1
10	40	1	0
5	35	1	0
2	40	1	1
0	40	1	1
0	45	1	1
15	75	1	0
18	75	1	1
20	80	1	1
20	85	1	1
22	85	1	1
25	85	1	1
15	80	1	345
