number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	1
30	52	1	1
28	52	1	1
28	55	1	34
25	52	1	34
25	50	1	34
23	52	1	34
42	65	1	1
42	66	1	1
42	68	1	1
40	66	1	1
40	69	1	0
38	68	1	1
38	70	1	0
25	55	1	34
23	55	1	34
20	55	1	34
20	50	1	34
8	45	1	1
5	45	1	1
8	40	1	1
33	35	1	1
33	32	1	1
35	32	1	1
35	30	1	1
32	30	1	1
30	30	1	1
30	32	1	1
35	66	1	1
35	69	1	0
45	68	1	0
45	70	1	1
22	75	1	34
18	75	1	115
30	35	1	1
28	35	1	115
26	32	1	34
28	30	1	34
10	40	1	115
10	35	1	115
5	35	1	1
2	40	1	1
0	40	1	1
15	75	1	115
15	80	1	115
20	80	1	0
20	85	1	1
22	85	1	1
25	85	1	1
0	45	1	1
