number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	0
18	75	1	0
15	75	1	1
15	80	1	657
18	80	1	1
20	80	1	1
58	75	1	1
60	80	1	1
62	80	1	0
65	82	1	1
65	85	1	1
67	85	1	1
10	40	1	134
8	40	1	134
10	35	1	705
8	45	1	1
5	45	1	1
2	45	1	1
0	45	1	1
5	35	1	1
55	80	1	1
55	82	1	1
55	85	1	1
60	85	1	1
25	85	1	704
40	15	1	1
42	15	1	1
38	15	1	134
42	12	1	1
42	10	1	1
42	5	1	705
44	5	1	705
72	35	1	1
85	35	1	1
88	35	1	657
90	35	1	1
95	35	1	0
95	30	1	1
92	30	1	1
20	82	1	657
20	85	1	1
22	85	1	704
2	40	1	134
0	40	1	705
40	5	1	0
38	5	1	134
35	5	1	134
85	25	1	704
87	30	1	704
88	30	1	657
