number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	0
41	37	1	1300
45	30	1	1300
50	35	1	1300
40	25	1	1
45	20	1	41
25	30	1	1
30	25	1	1300
35	17	1	1300
15	30	1	1
5	30	1	81
41	49	1	1300
47	47	1	0
53	52	1	1301
55	45	1	1300
55	60	1	1300
63	65	1	1301
64	42	1	1301
65	35	1	1300
20	40	1	1300
20	50	1	1300
13	52	1	1300
8	56	1	1300
2	60	1	1300
15	60	1	1300
20	65	1	1300
31	52	1	1300
30	60	1	1300
40	60	1	0
45	65	1	0
35	69	1	0
65	55	1	1301
20	20	1	1300
24	12	1	1300
23	3	1	1300
30	5	1	41
15	10	1	81
55	20	1	1300
60	12	1	1300
55	5	1	1300
65	20	1	1300
10	43	1	1300
6	38	1	1300
2	48	1	1300
10	20	1	81
11	14	1	81
45	10	1	41
42	7	1	41
5	5	1	1300
6	68	1	1300
