number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	23
30	52	1	23
28	52	1	23
28	55	1	29
25	52	1	29
25	50	1	29
23	52	1	29
23	55	1	1
25	55	1	1
20	55	1	29
42	65	1	641
42	66	1	523
42	68	1	523
40	66	1	641
40	69	1	523
33	35	1	1
33	32	1	23
35	32	1	23
35	30	1	23
32	30	1	29
30	30	1	29
35	66	1	29
35	69	1	523
38	68	1	523
38	70	1	523
30	35	1	119
28	35	1	119
30	32	1	119
28	30	1	523
45	68	1	641
45	70	1	641
22	75	1	641
18	75	1	641
20	50	1	691
8	45	1	523
5	45	1	523
8	40	1	523
10	40	1	523
26	32	1	119
10	35	1	523
5	35	1	691
2	40	1	691
15	75	1	0
15	80	1	1
20	80	1	0
20	85	1	0
25	85	1	0
22	85	1	0
0	45	1	641
0	40	1	641
