number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	1
41	37	1	1
45	30	1	669
50	35	1	669
25	30	1	1
30	25	1	1
35	17	1	1
40	25	1	0
45	20	1	669
41	49	1	1
47	47	1	1
53	52	1	153
55	45	1	153
20	40	1	0
20	50	1	0
13	52	1	669
8	56	1	1
31	52	1	669
30	60	1	669
40	60	1	669
45	65	1	669
15	30	1	153
5	30	1	669
6	38	1	669
10	43	1	669
20	20	1	153
24	12	1	1
23	3	1	153
30	5	1	153
55	20	1	669
60	12	1	0
55	5	1	1
65	20	1	669
45	10	1	867
42	7	1	867
15	10	1	153
11	14	1	153
10	20	1	669
64	42	1	669
65	35	1	669
65	55	1	669
63	65	1	669
55	60	1	153
35	69	1	669
20	65	1	867
15	60	1	867
2	48	1	0
2	60	1	1
6	68	1	1
5	5	1	669
