number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	1
41	37	1	1
45	30	1	12
50	35	1	0
40	25	1	12
25	30	1	100
30	25	1	100
35	17	1	100
15	30	1	100
5	30	1	100
41	49	1	1
47	47	1	0
53	52	1	1
55	45	1	1
55	60	1	1
20	40	1	1
20	50	1	1
13	52	1	100
8	56	1	0
2	60	1	216
15	60	1	100
31	52	1	1
30	60	1	1
40	60	1	1
45	65	1	100
45	20	1	12
55	20	1	100
60	12	1	100
55	5	1	100
65	20	1	100
20	20	1	1
24	12	1	1
23	3	1	1
30	5	1	0
15	10	1	216
10	43	1	1
6	38	1	216
2	48	1	216
10	20	1	216
11	14	1	216
45	10	1	100
42	7	1	100
65	35	1	0
64	42	1	1
65	55	1	1
20	65	1	100
6	68	1	1
35	69	1	1
63	65	1	1
5	5	1	1
