number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
35	35	0	0
35	40	1	1
41	37	1	1
45	30	1	1
50	35	1	1
40	25	1	1
25	30	1	1
30	25	1	1
35	17	1	125
15	30	1	1
5	30	1	1
41	49	1	1
47	47	1	1
53	52	1	125
55	45	1	125
55	60	1	125
20	40	1	0
20	50	1	1
13	52	1	216
8	56	1	1
2	60	1	1
15	60	1	216
31	52	1	125
30	60	1	125
40	60	1	125
45	65	1	125
45	20	1	1
55	20	1	1
60	12	1	1
55	5	1	1
65	20	1	125
20	20	1	0
24	12	1	1
23	3	1	216
30	5	1	216
15	10	1	1
10	43	1	1
6	38	1	1
2	48	1	1
10	20	1	1
11	14	1	1
45	10	1	1
42	7	1	0
65	35	1	125
64	42	1	125
65	55	1	1
20	65	1	0
6	68	1	0
35	69	1	125
63	65	1	1
5	5	1	216
