number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	880
18	75	1	880
15	75	1	880
15	80	1	881
58	75	1	880
60	80	1	880
62	80	1	880
65	82	1	1
10	40	1	880
8	40	1	880
10	35	1	880
8	45	1	880
55	80	1	1
55	82	1	1
55	85	1	0
60	85	1	881
40	15	1	1
42	15	1	1
38	15	1	1
42	12	1	1
42	10	1	1
72	35	1	1
85	35	1	880
88	35	1	880
90	35	1	880
5	45	1	880
2	45	1	880
0	45	1	880
2	40	1	880
20	80	1	880
20	82	1	881
18	80	1	880
20	85	1	881
25	85	1	1
22	85	1	1
65	85	1	881
67	85	1	881
5	35	1	880
0	40	1	880
35	5	1	880
38	5	1	880
40	5	1	880
42	5	1	1
44	5	1	1
85	25	1	0
87	30	1	1
88	30	1	1
92	30	1	0
95	30	1	0
95	35	1	0
