number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
22	75	1	690
18	75	1	690
15	75	1	1
15	80	1	653
58	75	1	1
60	80	1	0
62	80	1	0
65	82	1	1
10	40	1	102
8	40	1	102
10	35	1	102
8	45	1	1
55	80	1	881
55	82	1	881
55	85	1	881
60	85	1	0
40	15	1	1
42	15	1	1
38	15	1	102
42	12	1	1
42	10	1	1
72	35	1	653
85	35	1	653
88	35	1	690
90	35	1	690
5	45	1	1
2	45	1	1
0	45	1	1
2	40	1	102
20	80	1	690
20	82	1	653
18	80	1	690
20	85	1	653
25	85	1	690
22	85	1	690
65	85	1	0
67	85	1	0
5	35	1	102
0	40	1	1
35	5	1	102
38	5	1	102
40	5	1	102
42	5	1	1
44	5	1	102
85	25	1	881
87	30	1	881
88	30	1	881
92	30	1	690
95	30	1	690
95	35	1	690
