number_truck	2
number_drone	1
truck_speed	0.5
drone_speed	1
M_d	4
L_d	90
Sigma	5
XCOORD	YCOORD	DEMAND	RELEASE_DATE
40	50	0	0
30	50	1	1
28	52	1	1
25	50	1	1
23	52	1	1
20	50	1	110
20	55	1	110
36	40	1	110
33	35	1	445
33	32	1	445
35	32	1	445
30	35	1	487
30	30	1	487
26	32	1	487
34	60	1	1
30	56	1	0
35	66	1	1
35	69	1	1
42	65	1	1
45	70	1	110
28	70	1	621
22	66	1	487
22	75	1	487
18	75	1	487
15	75	1	621
15	80	1	0
16	42	1	487
10	40	1	445
8	40	1	445
10	35	1	445
8	45	1	445
60	66	1	110
62	69	1	110
58	70	1	110
52	75	1	110
25	85	1	0
22	85	1	1
20	85	1	0
34	25	1	621
32	20	1	621
36	18	1	1
48	20	1	0
5	35	1	445
2	40	1	445
0	40	1	487
14	66	1	487
8	62	1	1
4	55	1	110
5	45	1	445
0	45	1	487
20	80	1	1
